"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","bar"
"138","R_2ygfLUFaggmBQaK",55,1,1,5,5,0.2,0.2,0,0.59375,0.6,8.20325,0.55625,1
"139","R_2TYkTN8cgPC5ukE",21,1,1,4,3,0.6,0,1,0.375,0.6375,9.34353125,0.4,0
"140","R_p3rnbbpcsldDCsp",41,0,0,4,2,0.8,0,1,0.59375,0.53125,11.05334375,0.49375,1
"141","R_2sdpWvbS4vVLQYY",28,0,0,4,4,0.4,0,1,0.53125,0.25625,10.4906875,0.2875,1
"142","R_bCuE4HUBiyUmrmx",31,1,0,1,4,0.8,0.6,1,0.625,0.5375,6.934125,0.14375,0
"143","R_vGrVNIqJgvPHmYp",23,1,0,2,4,0,0,1,0.625,0.425,11.200125,0.39375,1
"144","R_9TvQFQN6JowGJbz",42,1,0,NA,3,0.6,0.2,1,0.59375,0.70625,12.2588125,0.76875,0
"145","R_2fjJvTfW1wxZm0c",20,0,0,2,4,0.2,0.2,1,0.53125,0.5625,26.49025,0.54375,1
"146","R_3KMw41QeLaG8F5G",19,0,0,4,2,0.6,0.6,1,0.59375,0.66875,12.0055625,0.60625,0
"147","R_26a7Z2nt3ik3UYi",28,0,0,4,4,0.4,0,1,0.59375,0.55625,14.64896875,0.54375,0
"148","R_3IbpMYJLNBPTLlE",22,0,0,4,2,0.4,0.6,1,0.625,0.6625,7.32565625,0.81875,0
"149","R_3hEMc65WpXlRZpg",29,1,0,4,2,0.2,0,1,0.4375,0.34375,10.3425625,0.43125,0
"150","R_3LbwGB5jY4v2Hi5",46,1,1,4,4,0.4,0,0,0.5625,0.5125,8.95459375,0.55,1
"151","R_2fpUYuvpZc7hfeR",18,0,1,4,5,0.6,0,1,0.4375,0.5625,10.72121875,0.63125,0
"152","R_12fKlLECgwF0NDe",25,0,0,3,1,0,0,0,0.4375,0.6875,10.27815625,0.6375,1
"153","R_Y4ysrIQ1Gqgqw8h",22,0,0,4,4,0.2,0.2,1,0.5,0.3,11.0441875,0.35,1
