"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","AI","bar"
"252","R_1PS13gNhqWQkAzM",28,1,1,4,2,0.8,0.4,1,0.615384615384615,0.692307692307692,11.8226153846154,0.538461538461538,1,1
"253","R_XRFV1wd3KSh8w7L",41,1,0,3,5,0.2,0,1,0.538461538461538,0.123076923076923,9.41246153846154,0.369230769230769,1,0
"254","R_3D8ybG7SsU7w4jB",57,0,0,2,4,0.2,0.4,0,0.692307692307692,0.323076923076923,7.74038461538461,0.323076923076923,1,1
"255","R_tYXg6mdF9O0QPrX",40,0,0,4,2,0.4,0.4,1,0.538461538461538,0.661538461538462,13.4215384615385,0.615384615384615,1,0
"256","R_2dmOmqHlo0Qznkx",28,1,1,2,4,0.6,0,1,0.538461538461538,0.738461538461538,4.49576923076923,0.276923076923077,1,0
"257","R_31hMAot4jDSGS6Z",25,0,0,3,1,0.4,0,1,0.692307692307692,0.676923076923077,12.3527692307692,0.630769230769231,1,1
"258","R_3e2LsfjPy5BKRbC",28,1,0,2,4,0.8,0.2,0,0.692307692307692,0.738461538461538,7.62069230769231,0.476923076923077,1,0
"259","R_2cCNyQR8fYD8N5U",21,0,1,4,3,0.6,0.2,1,0.615384615384615,0.553846153846154,10.1094615384615,0.661538461538462,1,1
"260","R_yllLgeMlqTZDhLj",21,0,1,4,1,0.6,0,1,0.538461538461538,0.523076923076923,9.76892307692308,0.2,1,0
"261","R_3m2Z9IOpTigHrSU",31,0,1,4,2,0.2,0.2,0,0.769230769230769,0.492307692307692,8.00692307692308,0.615384615384615,1,1
"262","R_2RTYSLuS7jIV3VC",54,1,1,4,4,0.6,0.4,0,0.692307692307692,0.553846153846154,7.679,0.630769230769231,1,0
"263","R_2s7kl891Z9GBUWa",30,1,0,4,2,1,0.4,1,0.615384615384615,0.8,16.3261538461538,0.692307692307692,1,0
"264","R_2Y9h1b2E4GDjGlY",48,1,1,4,3,0.2,0,0,0.615384615384615,0.584615384615385,5.175,0.661538461538462,1,1
"265","R_2Ynup9mzbRziFag",20,0,1,2,4,0.2,0,1,0.615384615384615,0.492307692307692,10.6790769230769,0.492307692307692,1,1
"266","R_1hM6wa9kSUNH1Ep",27,1,0,2,4,0.6,0.2,0,0.692307692307692,0.769230769230769,15.6239230769231,0.646153846153846,1,1
"267","R_3dWI2pcrQ6pgWQW",23,0,1,3,2,0.4,0.2,1,0.615384615384615,0.707692307692308,5.41046153846154,0.661538461538462,1,0
"268","R_3O0wOumB2iXWwql",29,1,0,4,4,0.8,0,1,0.615384615384615,0.630769230769231,7.76230769230769,0.461538461538462,1,1
"269","R_2rBAY208NsMD2IE",28,1,0,2,4,0.6,0.8,1,0.692307692307692,0.876923076923077,5.17330769230769,0.523076923076923,1,0
"270","R_3Ei0VFuFY8NRNYI",34,1,1,3,4,0.6,0,1,0.692307692307692,0.523076923076923,22.2571538461538,0.569230769230769,1,1
"271","R_1g2sU5O3CsO3QFi",25,1,1,2,3,0.4,0.2,0,0.538461538461538,0.784615384615385,6.36046153846154,0.430769230769231,1,1
"272","R_3CUcOioBR7jsEmr",25,0,0,4,2,0.2,0.4,1,0.692307692307692,0.676923076923077,11.0561538461538,0.753846153846154,1,0
"273","R_2VxRm60qNqWMzvG",20,0,1,5,2,0.6,0.6,0,0.615384615384615,0.707692307692308,6.32676923076923,0.646153846153846,1,1
"274","R_1F5jopdza3Q288l",21,0,1,4,3,0.8,0,1,0.769230769230769,0.784615384615385,6.73292307692308,0.661538461538462,1,1
"275","R_1JRW0tZ4nfhwGDs",22,1,0,5,4,0.4,0,0,0.615384615384615,0.769230769230769,5.24723076923077,0.769230769230769,1,1
"276","R_b8ZWwSxP0PUf2y5",38,0,1,4,3,0.4,0,1,0.615384615384615,0.6,9.68861538461539,0.630769230769231,1,0
"277","R_31KpSuswjU9fRyK",28,0,0,4,2,0.8,0.4,0,0.692307692307692,0.707692307692308,9.89592307692308,0.507692307692308,1,1
